filename,condition,sample_id,movie_id,source_file,frame_num,total_frames,batch_name
Mutant_175_01_f0000.png,Mutant,175,01,4_Mutant_175/01.avi,0,15,Mutant_175_01
Mutant_175_01_f0002.png,Mutant,175,01,4_Mutant_175/01.avi,2,15,Mutant_175_01
Mutant_175_01_f0003.png,Mutant,175,01,4_Mutant_175/01.avi,3,15,Mutant_175_01
Mutant_175_01_f0005.png,Mutant,175,01,4_Mutant_175/01.avi,5,15,Mutant_175_01
Mutant_175_01_f0006.png,Mutant,175,01,4_Mutant_175/01.avi,6,15,Mutant_175_01
Mutant_175_01_f0008.png,Mutant,175,01,4_Mutant_175/01.avi,8,15,Mutant_175_01
Mutant_175_01_f0009.png,Mutant,175,01,4_Mutant_175/01.avi,9,15,Mutant_175_01
Mutant_175_01_f0011.png,Mutant,175,01,4_Mutant_175/01.avi,11,15,Mutant_175_01
Mutant_175_01_f0012.png,Mutant,175,01,4_Mutant_175/01.avi,12,15,Mutant_175_01
Mutant_175_01_f0014.png,Mutant,175,01,4_Mutant_175/01.avi,14,15,Mutant_175_01
Mutant_175_02_f0000.png,Mutant,175,02,4_Mutant_175/02.avi,0,15,Mutant_175_02
Mutant_175_02_f0002.png,Mutant,175,02,4_Mutant_175/02.avi,2,15,Mutant_175_02
Mutant_175_02_f0003.png,Mutant,175,02,4_Mutant_175/02.avi,3,15,Mutant_175_02
Mutant_175_02_f0005.png,Mutant,175,02,4_Mutant_175/02.avi,5,15,Mutant_175_02
Mutant_175_02_f0006.png,Mutant,175,02,4_Mutant_175/02.avi,6,15,Mutant_175_02
Mutant_175_02_f0008.png,Mutant,175,02,4_Mutant_175/02.avi,8,15,Mutant_175_02
Mutant_175_02_f0009.png,Mutant,175,02,4_Mutant_175/02.avi,9,15,Mutant_175_02
Mutant_175_02_f0011.png,Mutant,175,02,4_Mutant_175/02.avi,11,15,Mutant_175_02
Mutant_175_02_f0012.png,Mutant,175,02,4_Mutant_175/02.avi,12,15,Mutant_175_02
Mutant_175_02_f0014.png,Mutant,175,02,4_Mutant_175/02.avi,14,15,Mutant_175_02
Mutant_175_03_f0000.png,Mutant,175,03,4_Mutant_175/03.avi,0,15,Mutant_175_03
Mutant_175_03_f0002.png,Mutant,175,03,4_Mutant_175/03.avi,2,15,Mutant_175_03
Mutant_175_03_f0003.png,Mutant,175,03,4_Mutant_175/03.avi,3,15,Mutant_175_03
Mutant_175_03_f0005.png,Mutant,175,03,4_Mutant_175/03.avi,5,15,Mutant_175_03
Mutant_175_03_f0006.png,Mutant,175,03,4_Mutant_175/03.avi,6,15,Mutant_175_03
Mutant_175_03_f0008.png,Mutant,175,03,4_Mutant_175/03.avi,8,15,Mutant_175_03
Mutant_175_03_f0009.png,Mutant,175,03,4_Mutant_175/03.avi,9,15,Mutant_175_03
Mutant_175_03_f0011.png,Mutant,175,03,4_Mutant_175/03.avi,11,15,Mutant_175_03
Mutant_175_03_f0012.png,Mutant,175,03,4_Mutant_175/03.avi,12,15,Mutant_175_03
Mutant_175_03_f0014.png,Mutant,175,03,4_Mutant_175/03.avi,14,15,Mutant_175_03
Mutant_175_04_f0000.png,Mutant,175,04,4_Mutant_175/04.avi,0,15,Mutant_175_04
Mutant_175_04_f0002.png,Mutant,175,04,4_Mutant_175/04.avi,2,15,Mutant_175_04
Mutant_175_04_f0003.png,Mutant,175,04,4_Mutant_175/04.avi,3,15,Mutant_175_04
Mutant_175_04_f0005.png,Mutant,175,04,4_Mutant_175/04.avi,5,15,Mutant_175_04
Mutant_175_04_f0006.png,Mutant,175,04,4_Mutant_175/04.avi,6,15,Mutant_175_04
Mutant_175_04_f0008.png,Mutant,175,04,4_Mutant_175/04.avi,8,15,Mutant_175_04
Mutant_175_04_f0009.png,Mutant,175,04,4_Mutant_175/04.avi,9,15,Mutant_175_04
Mutant_175_04_f0011.png,Mutant,175,04,4_Mutant_175/04.avi,11,15,Mutant_175_04
Mutant_175_04_f0012.png,Mutant,175,04,4_Mutant_175/04.avi,12,15,Mutant_175_04
Mutant_175_04_f0014.png,Mutant,175,04,4_Mutant_175/04.avi,14,15,Mutant_175_04
Mutant_515_01_676-8-2_f0000.png,Mutant,515,01_676-8-2,3_Mutant_515/01_676-8-2.avi,0,15,Mutant_515_01_676-8-2
Mutant_515_01_676-8-2_f0002.png,Mutant,515,01_676-8-2,3_Mutant_515/01_676-8-2.avi,2,15,Mutant_515_01_676-8-2
Mutant_515_01_676-8-2_f0003.png,Mutant,515,01_676-8-2,3_Mutant_515/01_676-8-2.avi,3,15,Mutant_515_01_676-8-2
Mutant_515_01_676-8-2_f0005.png,Mutant,515,01_676-8-2,3_Mutant_515/01_676-8-2.avi,5,15,Mutant_515_01_676-8-2
Mutant_515_01_676-8-2_f0006.png,Mutant,515,01_676-8-2,3_Mutant_515/01_676-8-2.avi,6,15,Mutant_515_01_676-8-2
Mutant_515_01_676-8-2_f0008.png,Mutant,515,01_676-8-2,3_Mutant_515/01_676-8-2.avi,8,15,Mutant_515_01_676-8-2
Mutant_515_01_676-8-2_f0009.png,Mutant,515,01_676-8-2,3_Mutant_515/01_676-8-2.avi,9,15,Mutant_515_01_676-8-2
Mutant_515_01_676-8-2_f0011.png,Mutant,515,01_676-8-2,3_Mutant_515/01_676-8-2.avi,11,15,Mutant_515_01_676-8-2
Mutant_515_01_676-8-2_f0012.png,Mutant,515,01_676-8-2,3_Mutant_515/01_676-8-2.avi,12,15,Mutant_515_01_676-8-2
Mutant_515_01_676-8-2_f0014.png,Mutant,515,01_676-8-2,3_Mutant_515/01_676-8-2.avi,14,15,Mutant_515_01_676-8-2
Mutant_515_02_676-6-2_f0000.png,Mutant,515,02_676-6-2,3_Mutant_515/02_676-6-2.mp4,0,15,Mutant_515_02_676-6-2
Mutant_515_02_676-6-2_f0002.png,Mutant,515,02_676-6-2,3_Mutant_515/02_676-6-2.mp4,2,15,Mutant_515_02_676-6-2
Mutant_515_02_676-6-2_f0003.png,Mutant,515,02_676-6-2,3_Mutant_515/02_676-6-2.mp4,3,15,Mutant_515_02_676-6-2
Mutant_515_02_676-6-2_f0005.png,Mutant,515,02_676-6-2,3_Mutant_515/02_676-6-2.mp4,5,15,Mutant_515_02_676-6-2
Mutant_515_02_676-6-2_f0006.png,Mutant,515,02_676-6-2,3_Mutant_515/02_676-6-2.mp4,6,15,Mutant_515_02_676-6-2
Mutant_515_02_676-6-2_f0008.png,Mutant,515,02_676-6-2,3_Mutant_515/02_676-6-2.mp4,8,15,Mutant_515_02_676-6-2
Mutant_515_02_676-6-2_f0009.png,Mutant,515,02_676-6-2,3_Mutant_515/02_676-6-2.mp4,9,15,Mutant_515_02_676-6-2
Mutant_515_02_676-6-2_f0011.png,Mutant,515,02_676-6-2,3_Mutant_515/02_676-6-2.mp4,11,15,Mutant_515_02_676-6-2
Mutant_515_02_676-6-2_f0012.png,Mutant,515,02_676-6-2,3_Mutant_515/02_676-6-2.mp4,12,15,Mutant_515_02_676-6-2
Mutant_515_02_676-6-2_f0014.png,Mutant,515,02_676-6-2,3_Mutant_515/02_676-6-2.mp4,14,15,Mutant_515_02_676-6-2
Mutant_515_03_676-6-3_f0000.png,Mutant,515,03_676-6-3,3_Mutant_515/03_676-6-3.mp4,0,15,Mutant_515_03_676-6-3
Mutant_515_03_676-6-3_f0002.png,Mutant,515,03_676-6-3,3_Mutant_515/03_676-6-3.mp4,2,15,Mutant_515_03_676-6-3
Mutant_515_03_676-6-3_f0003.png,Mutant,515,03_676-6-3,3_Mutant_515/03_676-6-3.mp4,3,15,Mutant_515_03_676-6-3
Mutant_515_03_676-6-3_f0005.png,Mutant,515,03_676-6-3,3_Mutant_515/03_676-6-3.mp4,5,15,Mutant_515_03_676-6-3
Mutant_515_03_676-6-3_f0006.png,Mutant,515,03_676-6-3,3_Mutant_515/03_676-6-3.mp4,6,15,Mutant_515_03_676-6-3
Mutant_515_03_676-6-3_f0008.png,Mutant,515,03_676-6-3,3_Mutant_515/03_676-6-3.mp4,8,15,Mutant_515_03_676-6-3
Mutant_515_03_676-6-3_f0009.png,Mutant,515,03_676-6-3,3_Mutant_515/03_676-6-3.mp4,9,15,Mutant_515_03_676-6-3
Mutant_515_03_676-6-3_f0011.png,Mutant,515,03_676-6-3,3_Mutant_515/03_676-6-3.mp4,11,15,Mutant_515_03_676-6-3
Mutant_515_03_676-6-3_f0012.png,Mutant,515,03_676-6-3,3_Mutant_515/03_676-6-3.mp4,12,15,Mutant_515_03_676-6-3
Mutant_515_03_676-6-3_f0014.png,Mutant,515,03_676-6-3,3_Mutant_515/03_676-6-3.mp4,14,15,Mutant_515_03_676-6-3
Mutant_515_04_676-6-3_f0000.png,Mutant,515,04_676-6-3,3_Mutant_515/04_676-6-3.mp4,0,15,Mutant_515_04_676-6-3
Mutant_515_04_676-6-3_f0002.png,Mutant,515,04_676-6-3,3_Mutant_515/04_676-6-3.mp4,2,15,Mutant_515_04_676-6-3
Mutant_515_04_676-6-3_f0003.png,Mutant,515,04_676-6-3,3_Mutant_515/04_676-6-3.mp4,3,15,Mutant_515_04_676-6-3
Mutant_515_04_676-6-3_f0005.png,Mutant,515,04_676-6-3,3_Mutant_515/04_676-6-3.mp4,5,15,Mutant_515_04_676-6-3
Mutant_515_04_676-6-3_f0006.png,Mutant,515,04_676-6-3,3_Mutant_515/04_676-6-3.mp4,6,15,Mutant_515_04_676-6-3
Mutant_515_04_676-6-3_f0008.png,Mutant,515,04_676-6-3,3_Mutant_515/04_676-6-3.mp4,8,15,Mutant_515_04_676-6-3
Mutant_515_04_676-6-3_f0009.png,Mutant,515,04_676-6-3,3_Mutant_515/04_676-6-3.mp4,9,15,Mutant_515_04_676-6-3
Mutant_515_04_676-6-3_f0011.png,Mutant,515,04_676-6-3,3_Mutant_515/04_676-6-3.mp4,11,15,Mutant_515_04_676-6-3
Mutant_515_04_676-6-3_f0012.png,Mutant,515,04_676-6-3,3_Mutant_515/04_676-6-3.mp4,12,15,Mutant_515_04_676-6-3
Mutant_515_04_676-6-3_f0014.png,Mutant,515,04_676-6-3,3_Mutant_515/04_676-6-3.mp4,14,15,Mutant_515_04_676-6-3
Mutant_515_05_676-8-3_f0000.png,Mutant,515,05_676-8-3,3_Mutant_515/05_676-8-3.mp4,0,15,Mutant_515_05_676-8-3
Mutant_515_05_676-8-3_f0002.png,Mutant,515,05_676-8-3,3_Mutant_515/05_676-8-3.mp4,2,15,Mutant_515_05_676-8-3
Mutant_515_05_676-8-3_f0003.png,Mutant,515,05_676-8-3,3_Mutant_515/05_676-8-3.mp4,3,15,Mutant_515_05_676-8-3
Mutant_515_05_676-8-3_f0005.png,Mutant,515,05_676-8-3,3_Mutant_515/05_676-8-3.mp4,5,15,Mutant_515_05_676-8-3
Mutant_515_05_676-8-3_f0006.png,Mutant,515,05_676-8-3,3_Mutant_515/05_676-8-3.mp4,6,15,Mutant_515_05_676-8-3
Mutant_515_05_676-8-3_f0008.png,Mutant,515,05_676-8-3,3_Mutant_515/05_676-8-3.mp4,8,15,Mutant_515_05_676-8-3
Mutant_515_05_676-8-3_f0009.png,Mutant,515,05_676-8-3,3_Mutant_515/05_676-8-3.mp4,9,15,Mutant_515_05_676-8-3
Mutant_515_05_676-8-3_f0011.png,Mutant,515,05_676-8-3,3_Mutant_515/05_676-8-3.mp4,11,15,Mutant_515_05_676-8-3
Mutant_515_05_676-8-3_f0012.png,Mutant,515,05_676-8-3,3_Mutant_515/05_676-8-3.mp4,12,15,Mutant_515_05_676-8-3
Mutant_515_05_676-8-3_f0014.png,Mutant,515,05_676-8-3,3_Mutant_515/05_676-8-3.mp4,14,15,Mutant_515_05_676-8-3
WT_218_03_f0000.png,WT,218,03,1_WT_218/03.avi,0,15,WT_218_03
WT_218_03_f0002.png,WT,218,03,1_WT_218/03.avi,2,15,WT_218_03
WT_218_03_f0003.png,WT,218,03,1_WT_218/03.avi,3,15,WT_218_03
WT_218_03_f0005.png,WT,218,03,1_WT_218/03.avi,5,15,WT_218_03
WT_218_03_f0006.png,WT,218,03,1_WT_218/03.avi,6,15,WT_218_03
WT_218_03_f0008.png,WT,218,03,1_WT_218/03.avi,8,15,WT_218_03
WT_218_03_f0009.png,WT,218,03,1_WT_218/03.avi,9,15,WT_218_03
WT_218_03_f0011.png,WT,218,03,1_WT_218/03.avi,11,15,WT_218_03
WT_218_03_f0012.png,WT,218,03,1_WT_218/03.avi,12,15,WT_218_03
WT_218_03_f0014.png,WT,218,03,1_WT_218/03.avi,14,15,WT_218_03
WT_550_01_f0000.png,WT,550,01,2_WT_550/01.avi,0,15,WT_550_01
WT_550_01_f0002.png,WT,550,01,2_WT_550/01.avi,2,15,WT_550_01
WT_550_01_f0003.png,WT,550,01,2_WT_550/01.avi,3,15,WT_550_01
WT_550_01_f0005.png,WT,550,01,2_WT_550/01.avi,5,15,WT_550_01
WT_550_01_f0006.png,WT,550,01,2_WT_550/01.avi,6,15,WT_550_01
WT_550_01_f0008.png,WT,550,01,2_WT_550/01.avi,8,15,WT_550_01
WT_550_01_f0009.png,WT,550,01,2_WT_550/01.avi,9,15,WT_550_01
WT_550_01_f0011.png,WT,550,01,2_WT_550/01.avi,11,15,WT_550_01
WT_550_01_f0012.png,WT,550,01,2_WT_550/01.avi,12,15,WT_550_01
WT_550_01_f0014.png,WT,550,01,2_WT_550/01.avi,14,15,WT_550_01
WT_550_02_f0000.png,WT,550,02,2_WT_550/02.avi,0,15,WT_550_02
WT_550_02_f0002.png,WT,550,02,2_WT_550/02.avi,2,15,WT_550_02
WT_550_02_f0003.png,WT,550,02,2_WT_550/02.avi,3,15,WT_550_02
WT_550_02_f0005.png,WT,550,02,2_WT_550/02.avi,5,15,WT_550_02
WT_550_02_f0006.png,WT,550,02,2_WT_550/02.avi,6,15,WT_550_02
WT_550_02_f0008.png,WT,550,02,2_WT_550/02.avi,8,15,WT_550_02
WT_550_02_f0009.png,WT,550,02,2_WT_550/02.avi,9,15,WT_550_02
WT_550_02_f0011.png,WT,550,02,2_WT_550/02.avi,11,15,WT_550_02
WT_550_02_f0012.png,WT,550,02,2_WT_550/02.avi,12,15,WT_550_02
WT_550_02_f0014.png,WT,550,02,2_WT_550/02.avi,14,15,WT_550_02
WT_550_03_f0000.png,WT,550,03,2_WT_550/03.avi,0,15,WT_550_03
WT_550_03_f0002.png,WT,550,03,2_WT_550/03.avi,2,15,WT_550_03
WT_550_03_f0003.png,WT,550,03,2_WT_550/03.avi,3,15,WT_550_03
WT_550_03_f0005.png,WT,550,03,2_WT_550/03.avi,5,15,WT_550_03
WT_550_03_f0006.png,WT,550,03,2_WT_550/03.avi,6,15,WT_550_03
WT_550_03_f0008.png,WT,550,03,2_WT_550/03.avi,8,15,WT_550_03
WT_550_03_f0009.png,WT,550,03,2_WT_550/03.avi,9,15,WT_550_03
WT_550_03_f0011.png,WT,550,03,2_WT_550/03.avi,11,15,WT_550_03
WT_550_03_f0012.png,WT,550,03,2_WT_550/03.avi,12,15,WT_550_03
WT_550_03_f0014.png,WT,550,03,2_WT_550/03.avi,14,15,WT_550_03
WT_550_04_f0000.png,WT,550,04,2_WT_550/04.avi,0,15,WT_550_04
WT_550_04_f0002.png,WT,550,04,2_WT_550/04.avi,2,15,WT_550_04
WT_550_04_f0003.png,WT,550,04,2_WT_550/04.avi,3,15,WT_550_04
WT_550_04_f0005.png,WT,550,04,2_WT_550/04.avi,5,15,WT_550_04
WT_550_04_f0006.png,WT,550,04,2_WT_550/04.avi,6,15,WT_550_04
WT_550_04_f0008.png,WT,550,04,2_WT_550/04.avi,8,15,WT_550_04
WT_550_04_f0009.png,WT,550,04,2_WT_550/04.avi,9,15,WT_550_04
WT_550_04_f0011.png,WT,550,04,2_WT_550/04.avi,11,15,WT_550_04
WT_550_04_f0012.png,WT,550,04,2_WT_550/04.avi,12,15,WT_550_04
WT_550_04_f0014.png,WT,550,04,2_WT_550/04.avi,14,15,WT_550_04
WT_550_05_f0000.png,WT,550,05,2_WT_550/05.avi,0,15,WT_550_05
WT_550_05_f0002.png,WT,550,05,2_WT_550/05.avi,2,15,WT_550_05
WT_550_05_f0003.png,WT,550,05,2_WT_550/05.avi,3,15,WT_550_05
WT_550_05_f0005.png,WT,550,05,2_WT_550/05.avi,5,15,WT_550_05
WT_550_05_f0006.png,WT,550,05,2_WT_550/05.avi,6,15,WT_550_05
WT_550_05_f0008.png,WT,550,05,2_WT_550/05.avi,8,15,WT_550_05
WT_550_05_f0009.png,WT,550,05,2_WT_550/05.avi,9,15,WT_550_05
WT_550_05_f0011.png,WT,550,05,2_WT_550/05.avi,11,15,WT_550_05
WT_550_05_f0012.png,WT,550,05,2_WT_550/05.avi,12,15,WT_550_05
WT_550_05_f0014.png,WT,550,05,2_WT_550/05.avi,14,15,WT_550_05
